format,metric,year,number_of_records,value_actual
Download Music Video,Value (Adjusted),1983,1,0
Download Music Video,Value (Adjusted),1984,1,0
Download Music Video,Value (Adjusted),1985,1,0
Download Music Video,Value (Adjusted),1986,1,0
Download Music Video,Value (Adjusted),1987,1,0
Download Music Video,Value (Adjusted),1988,1,0
Download Music Video,Value (Adjusted),1989,1,0
Download Music Video,Value (Adjusted),1990,1,0
Download Music Video,Value (Adjusted),1991,1,0
Download Music Video,Value (Adjusted),1992,1,0
Download Music Video,Value (Adjusted),1993,1,0
Download Music Video,Value (Adjusted),1994,1,0
Download Music Video,Value (Adjusted),1995,1,0
Download Music Video,Value (Adjusted),1996,1,0
Download Music Video,Value (Adjusted),1997,1,0
Download Music Video,Value (Adjusted),1998,1,0
Download Music Video,Value (Adjusted),1999,1,0
Download Music Video,Value (Adjusted),2000,1,0
Download Music Video,Value (Adjusted),2001,1,0
Download Music Video,Value (Adjusted),2002,1,0
Download Music Video,Value (Adjusted),2003,1,0
Download Music Video,Value (Adjusted),2004,1,0
Download Music Video,Value (Adjusted),2005,1,4.84347619
Download Music Video,Value (Adjusted),2006,1,24.982355655
Download Music Video,Value (Adjusted),2007,1,34.778231548
Download Music Video,Value (Adjusted),2008,1,49.040812715
Download Music Video,Value (Adjusted),2009,1,48.739244513
Download Music Video,Value (Adjusted),2010,1,42.911207213
Download Music Video,Value (Adjusted),2011,1,36.824591556
Download Music Video,Value (Adjusted),2012,1,23.208206935
Download Music Video,Value (Adjusted),2013,1,18.372074986
Download Music Video,Value (Adjusted),2014,1,14.662197203
Download Music Video,Value (Adjusted),2015,1,6.918875516
Download Music Video,Value (Adjusted),2016,1,4.547792467
Download Music Video,Value (Adjusted),2017,1,2.905533136
Download Music Video,Value (Adjusted),2018,1,2.261051168
Download Music Video,Value (Adjusted),2019,1,1.858910402
Download Single,Value (Adjusted),1973,1,0
Download Single,Value (Adjusted),1974,1,0
Download Single,Value (Adjusted),1975,1,0
Download Single,Value (Adjusted),1976,1,0
Download Single,Value (Adjusted),1977,1,0
Download Single,Value (Adjusted),1978,1,0
Download Single,Value (Adjusted),1979,1,0
Download Single,Value (Adjusted),1980,1,0
Download Single,Value (Adjusted),1981,1,0
Download Single,Value (Adjusted),1982,1,0
Download Single,Value (Adjusted),1983,1,0
Download Single,Value (Adjusted),1984,1,0
Download Single,Value (Adjusted),1985,1,0
Download Single,Value (Adjusted),1986,1,0
Download Single,Value (Adjusted),1987,1,0
Download Single,Value (Adjusted),1988,1,0
Download Single,Value (Adjusted),1989,1,0
Download Single,Value (Adjusted),1990,1,0
Download Single,Value (Adjusted),1991,1,0
Download Single,Value (Adjusted),1992,1,0
Download Single,Value (Adjusted),1993,1,0
Download Single,Value (Adjusted),1994,1,0
Download Single,Value (Adjusted),1995,1,0
Download Single,Value (Adjusted),1996,1,0
Download Single,Value (Adjusted),1997,1,0
Download Single,Value (Adjusted),1998,1,0
Download Single,Value (Adjusted),1999,1,0
Download Single,Value (Adjusted),2000,1,0
Download Single,Value (Adjusted),2001,1,0
Download Single,Value (Adjusted),2002,1,0
Download Single,Value (Adjusted),2003,1,0
Download Single,Value (Adjusted),2004,1,186.769010058
Download Single,Value (Adjusted),2005,1,475.577
Download Single,Value (Adjusted),2006,1,736.282014881
Download Single,Value (Adjusted),2007,1,1000.182474674
Download Single,Value (Adjusted),2008,1,1225.664089214
Download Single,Value (Adjusted),2009,1,1396.635564029
Download Single,Value (Adjusted),2010,1,1566.845281946
Download Single,Value (Adjusted),2011,1,1730.301178542
Download Single,Value (Adjusted),2012,1,1831.258645554
Download Single,Value (Adjusted),2013,1,1726.739156044
Download Single,Value (Adjusted),2014,1,1463.655387096
